departamento,provincia,municipio,id_municipio,indicador,2012,2024
Chuquisaca,Azurduy,Azurduy,010201,Porcentaje de mujeres en edad fértil que su último parto fue atendido por personal de salud calificado(1).,27.3,76.6
Chuquisaca,Azurduy,Azurduy,010201,Paridez media de mujeres de 15 a 19 años de edad.,0.4,0.4
Chuquisaca,Azurduy,Azurduy,010201,Población con Cobertura de Salud(2).,0.0,90.6
Chuquisaca,Azurduy,Azurduy,010201,"Porcentaje de niñas, niños y adolescentes de 12 a 17 años de edad que completaron al menos 6 años de escolaridad e índice de paridad.",93.1,88.7
Chuquisaca,Azurduy,Azurduy,010201,Tasa de asistencia a un establecimiento educativo de niñas y niños de 4 a 5 años de edad e índice de paridad.,25.7,61.5
Chuquisaca,Azurduy,Azurduy,010201,Porcentaje de población de 15 a 24 años de edad que completó primaria e índice de paridad.,77.2,88.6
Chuquisaca,Azurduy,Azurduy,010201,Porcentaje de población de 19 o más años de edad que completó primaria e índice de paridad.,28.1,40.2
Chuquisaca,Azurduy,Azurduy,010201,Porcentaje de la población con acceso a fuente mejorada de agua.,43.4,70.1
Chuquisaca,Azurduy,Azurduy,010201,Porcentaje de la población con acceso a servicio de saneamiento gestionados de manera segura.,11.5,32.1
Chuquisaca,Azurduy,Azurduy,010201,Porcentaje de la población con acceso a energía eléctrica.,16.3,56.4
Chuquisaca,Azurduy,Azurduy,010201,Porcentaje de la población que utiliza combustibles limpios (no sólidos) para cocinar.,10.3,19.9
Chuquisaca,Azurduy,Azurduy,010201,Porcentaje de población de 14 o más años de edad ocupada en actividades económicas relacionadas con el turismo.,0.6,1.2
Chuquisaca,Azurduy,Azurduy,010201,Porcentaje de población de 14 o más años de edad ocupada en la industria manufacturera.,2.7,1.5
Chuquisaca,Azurduy,Azurduy,010201,Porcentaje de hogares que tienen teléfono celular.,0.0,75.4
Chuquisaca,Azurduy,Azurduy,010201,Porcentaje de hogares que tienen internet.,0.6,48.1
Chuquisaca,Azurduy,Azurduy,010201,Porcentaje de niñas y niños menores de 5 años de edad con inscripción de su nacimiento en el registro civil boliviano.,88.9,97.8
